State id,Date,Simulated total infected,Simulated total death,Simulated total recovery
4.0,19/4/2020,1573.8000531376094,10.589367462830584,316.5709071821133
4.0,20/4/2020,1801.5917522723744,13.299821569889618,363.03281683950917
4.0,21/4/2020,2061.7908555537692,16.329280388134226,416.30225839797833
4.0,22/4/2020,2358.962338919619,19.232503192009546,477.84357147360333
4.0,23/4/2020,2698.3205540523613,21.966115397246032,548.8623007434539
4.0,24/4/2020,3085.820498723385,24.809088763808738,630.405081585544
4.0,25/4/2020,3528.2620331553967,27.56784257850658,724.1777794639036
4.0,26/4/2020,4033.4088528139846,30.35471143879014,831.7935408732084
4.0,27/4/2020,4610.12427853271,33.07206566724446,955.3189309558479
4.0,28/4/2020,5268.526209787704,35.715674807805065,1097.0050938248773
4.0,29/4/2020,6020.163911120671,38.42689762185088,1259.2749529492417
4.0,30/4/2020,6878.219669445327,41.36578671030974,1444.8950486582992
4.0,1/5/2020,7857.738776498407,44.42508947343107,1657.3128121686557
4.0,2/5/2020,8975.891761826588,47.452520977491275,1900.4927907060173
4.0,3/5/2020,10252.273333803514,50.69114914245065,2178.542997331827
4.0,4/5/2020,11709.908595686777,53.91508748382609,2517.6833301874026
,5/5/2020,13538.172152967361,57.087321369316584,2907.509752800846
5.0,5/3/2020,30.0,0.0,0.0
5.0,6/3/2020,72.48202889235357,0.0,1.1868122704686923
5.0,7/3/2020,187.211065212232,0.0,3.4279785314833653
5.0,8/3/2020,497.2502087604354,0.0,8.643605052044425
5.0,9/3/2020,1331.490296615319,0.0,21.923500884419237
5.0,10/3/2020,3503.7364583230287,0.0,55.80632988071423
5.0,11/3/2020,8085.935535288982,0.0,126.66443761364755
5.0,12/3/2020,10715.237026296792,0.0,166.9646133767845
5.0,13/3/2020,5656.998716326278,0.0,89.03662762992862
5.0,14/3/2020,4002.0492849895318,0.0,69.11992761686847
5.0,15/3/2020,4000.8733823047496,0.0,69.11992761686847
5.0,16/3/2020,1469.7520948204135,0.0,39.218928282827825
5.0,17/3/2020,1471.3247330549373,0.0,21.74165476546956
5.0,18/3/2020,1472.9511960215727,0.0,21.540529931853527
5.0,19/3/2020,1474.568381593931,0.0,21.462359665795763
5.0,20/3/2020,1476.068124309203,0.0,21.54381686161903
5.0,21/3/2020,1477.3288697184782,0.0,21.802065495894443
5.0,22/3/2020,1477.4192987334998,0.03921551063310256,22.0503778400442
5.0,23/3/2020,1477.5551977036935,0.09454418432986571,25.073636237217762
5.0,24/3/2020,1477.829335436564,0.2007841405134131,31.526836553877413
5.0,25/3/2020,1479.560419191242,0.44010463826569346,38.051971700128206
5.0,26/3/2020,1391.1166602188482,1.018902137236011,38.59527892942258
5.0,27/3/2020,1389.6738384118146,2.445309289483263,38.610074309346736
5.0,28/3/2020,1154.1657622839782,5.607012238208014,34.77157627632796
5.0,29/3/2020,963.3846120455322,9.732486465460653,17.645652624530797
5.0,30/3/2020,656.3864148409488,12.063948830577925,10.235968347214435
5.0,31/3/2020,2103.206309384165,13.03262397967386,95.26384503918977
5.0,1/4/2020,2117.361956988819,14.248430917010221,121.54050334312888
5.0,2/4/2020,3028.132071635931,15.400824074699095,176.97968479480724
5.0,3/4/2020,3179.163937053679,16.6335440523291,203.92410149473207
5.0,4/4/2020,2985.7690407167693,17.947273020011668,213.20163440303654
5.0,5/4/2020,2600.383084663735,19.339848981096395,208.1386351963859
5.0,6/4/2020,2292.3898822133756,20.80419982460746,203.79744098974402
5.0,7/4/2020,3250.131687311307,22.32806913239704,290.52405542233697
5.0,8/4/2020,3284.383583267834,23.889835747233892,313.09465718625233
5.0,9/4/2020,6505.36798088745,25.475202512088153,606.9047310580272
5.0,10/4/2020,6681.712006523676,27.077100911379787,656.9758322332796
5.0,11/4/2020,6753.015260238325,28.660951325217475,696.6427356075809
5.0,12/4/2020,6149.1437133284,29.832362348812563,668.8814073492334
5.0,13/4/2020,5895.557208079789,30.915130628954127,670.0069861405992
5.0,14/4/2020,5425.5379793423235,31.856656517888993,644.9083514730235
5.0,15/4/2020,6005.548915588042,32.74094647643091,727.7300080035905
5.0,16/4/2020,7539.562151513819,33.61893558636945,916.3537361714473
5.0,17/4/2020,7589.708147273286,34.82935331758995,944.2721391940973
5.0,18/4/2020,7248.090343832764,36.05268946896654,926.0429312439175
5.0,19/4/2020,8902.489393360416,37.99244864188418,1133.7327204733385
5.0,20/4/2020,10935.545955771173,40.41341530691546,1388.6582448167662
5.0,21/4/2020,13433.548315507684,43.038531225562615,1702.033404241394
5.0,22/4/2020,16502.436230590753,45.59390471204525,2087.561837704891
5.0,23/4/2020,20272.26781524164,48.04142045875021,2561.7720029060556
5.0,24/4/2020,24902.698370416947,51.85041499841094,3143.442313669988
5.0,25/4/2020,30589.69863578952,55.97169404553718,3858.4823205497946
5.0,26/4/2020,37573.7901342302,64.95802885894855,4732.861648867619
5.0,27/4/2020,46150.13611065551,74.6884904778808,5808.1732360850265
5.0,28/4/2020,56680.90003030629,84.95484386297785,7130.626367627406
5.0,29/4/2020,69610.37195014904,94.57988275144018,8757.86531486466
5.0,30/4/2020,85483.46876811945,104.04342190864958,10758.718089969898
5.0,1/5/2020,104968.33994184031,112.89428145655438,13218.694861731312
5.0,2/5/2020,128883.95819559738,122.95854597975611,16240.34497485683
5.0,3/5/2020,158233.74697640075,136.00164805485988,19949.95997521123
5.0,4/5/2020,194246.5897967187,149.3039420844872,24522.72778627929
,5/5/2020,240403.0195138558,162.0986448388257,30143.110850376932
6.0,14/3/2020,30.0,0.0,0.0
6.0,15/3/2020,39.34825280842725,0.0,1.0290796617580444
6.0,16/3/2020,52.84058385329668,0.0,2.2745534411875936
6.0,17/3/2020,72.30740963320382,0.0,3.839261842742422
6.0,18/3/2020,100.10273629364548,0.0,5.8508097004458435
6.0,19/3/2020,140.62880364949677,0.0,8.533924204003467
6.0,20/3/2020,210.6332428475215,0.0,12.689496352641811
6.0,21/3/2020,287.2601371717309,0.0,17.458353057010612
6.0,22/3/2020,365.39118620227333,0.0,22.422541670206396
6.0,23/3/2020,414.1860885592999,0.0,26.043095117526327
6.0,24/3/2020,382.9588620152658,0.0,25.783667953331523
6.0,25/3/2020,304.62748372614226,0.0,23.9801611997809
6.0,26/3/2020,224.14004919198084,0.0,25.484473910766425
6.0,27/3/2020,180.6360882585233,0.0,27.789403411634815
6.0,28/3/2020,149.73491397372462,0.0,29.691131453757922
6.0,29/3/2020,122.3519544423812,0.0,31.093640837596396
6.0,30/3/2020,222.7775917019715,0.0,42.28724700061664
